Bava_Kamma.3a:1	הגלל עד תמו״.
Bava_Kamma.3a:2	אמר מר: ״ושלח״ זו הרגל, וכן הוא אומר: ״משלחי רגל השור והחמור״. טעמא דכתב רחמנא ״משלחי רגל השור והחמור״, הא לאו הכי – במאי מוקמת לה?
Bava_Kamma.3a:3	אי קרן – כתיב! אי שן – כתיב!
Bava_Kamma.3a:4	אצטריך; סלקא דעתך אמינא: אידי ואידי אשן, והא דמכליא קרנא, הא דלא מכליא קרנא; קא משמע לן.
Bava_Kamma.3a:5	והשתא דאוקימנא ארגל, שן דלא מכליא קרנא – מנלן?
Bava_Kamma.3a:6	דומיא דרגל, מה רגל – לא שנא מכליא קרנא, ולא שנא לא מכליא קרנא; אף שן – לא שנא מכליא קרנא, ולא שנא לא מכליא קרנא.
Bava_Kamma.3a:7	אמר מר: ״ובער״ זו השן, וכן הוא אומר: ״כאשר יבער הגלל עד תמו״. טעמא דכתב רחמנא ״כאשר יבער הגלל עד תמו״, הא לאו הכי – במאי אוקימנא לה?
Bava_Kamma.3a:8	אי קרן – כתיב! אי רגל – כתיב! איצטריך; סלקא דעתך אמינא: אידי ואידי ארגל, הא דאזיל ממילא, הא דשלח שלוחי; קא משמע לן.
Bava_Kamma.3a:9	והשתא דאוקי אשן, רגל דאזלה ממילא – מנלן?
Bava_Kamma.3a:10	דומיא דשן, מה שן – לא שנא שלחה שלוחי, לא שנא דאזל ממילא; אף רגל – לא שנא שלחה שלוחי, לא שנא אזלה ממילא.
Bava_Kamma.3a:11	ולכתוב רחמנא ״ושלח״, ולא בעי ״ובער״; דמשמע רגל ומשמע שן – משמע רגל, דכתיב: ״משלחי רגל השור והחמור״; ומשמע שן, דכתיב: ״ושן בהמת אשלח בם״!
Bava_Kamma.3a:12	אי לאו קרא יתירה, הוה אמינא: או הא או הא – או רגל דהזיקו מצוי, או שן דיש הנאה להזיקו.
Bava_Kamma.3a:13	מכדי שקולין הן, ויבאו שניהם – דהי מנייהו מפקת? איצטריך; סלקא דעתך אמינא: הני מילי היכי דשלח שלוחי, אבל אזלא ממילא – לא; קא משמע לן.
Bava_Kamma.3a:14	תולדה דשן מאי היא? נתחככה בכותל להנאתה, וטינפה פירות להנאתה.
Bava_Kamma.3a:15	מאי שנא שן – דיש הנאה להזיקו, וממונך ושמירתו עליך; הני נמי – יש הנאה להזיקן, וממונך ושמירתן עליך! אלא תולדה דשן כשן, וכי קאמר רב פפא – אתולדה דרגל.
Bava_Kamma.3a:16	תולדה דרגל מאי היא? הזיקה בגופה דרך הילוכה, בשערה דרך הילוכה, בשליף שעליה, בפרומביא שבפיה, בזוג שבצוארה.
Bava_Kamma.3a:17	מאי שנא רגל – דהזיקו מצוי, וממונך ושמירתו עליך; הני נמי – הזיקן מצוי, וממונך ושמירתן עליך! אלא תולדה דרגל כרגל, וכי קאמר רב פפא – אתולדה דבור.
Bava_Kamma.3a:18	תולדה דבור מאי ניהו? אילימא אב – עשרה, ותולדה – תשעה; לא תשעה כתיבי, ולא עשרה כתיבי!
Bava_Kamma.3a:19	הא לא קשיא; ״והמת יהיה לו״ אמר רחמנא, וקים להו לרבנן, עשרה – עבדן מיתה, תשעה – נזיקין עבדי, מיתה לא עבדי.
Bava_Kamma.3a:20	סוף סוף, זה אב למיתה, וזה אב לנזקין!
Bava_Kamma.3a:21	אלא אאבנו, סכינו ומשאו שהניחן ברשות הרבים והזיקו.
Bava_Kamma.3a:22	היכי דמי? אי דאפקרינהו – בין לרב ובין לשמואל, היינו בור.
